Sl. No.,STATE/U.T.,Full Time Teachers - Male,Full Time Teachers - Female,Full Time Teachers - Total,Para/Contract Teachers - Male,Para/Contract Teachers - Female,Para/Contract Teachers - Total
1,Andaman  Nicobar Islands,275,276,551,24,44,68
2,Andhra Pradesh,78987,42433,121420,6286,5847,12133
3,Arunachal Pradesh,1085,326,1411,244,165,409
4,Assam,29306,9812,39118,1286,930,2216
5,Bihar,12751,2328,15079,3413,933,4346
6,Chandigarh,18,37,55,20,31,51
7,Chhattisgarh,2548,1253,3801,2602,1562,4164
8,Dadra  Nagar Haveli,73,54,127,16,22,38
9,Daman  Diu,53,36,89,1,3,4
10,Delhi,373,402,775,32,3,35
11,Goa,1013,1666,2679,58,108,166
12,Gujarat,15823,4314,20137,478,301,779
13,Haryana,14642,9239,23881,2923,2340,5263
14,Himachal Pradesh,4760,3897,8657,1104,918,2022
15,Jammu  Kashmir,11237,6888,18125,968,726,1694
16,Jharkhand,5803,2133,7936,706,530,1236
17,Karnataka,32523,15494,48017,2044,1299,3343
18,Kerala,7516,20574,28090,214,410,624
19,Lakshadweep,65,16,81,4,5,9
20,Madhya Pradesh,12996,6789,19785,1524,1037,2561
21,Maharashtra,68887,17257,86144,4935,2029,6964
22,Manipur,3662,2368,6030,685,606,1291
23,Meghalaya,2757,1568,4325,148,149,297
24,Mizoram,1112,311,1423,121,47,168
25,Nagaland,2088,1465,3553,282,218,500
26,Orissa,37065,9383,46448,4185,3232,7417
27,Puducherry,424,898,1322,43,71,114
28,Punjab,9915,13378,23293,1654,3106,4760
29,Rajasthan,54133,12169,66302,4119,1670,5789
30,Sikkim,1095,877,1972,93,119,212
31,Tamil Nadu,12257,19762,32019,917,2491,3408
32,Tripura,4634,1347,5981,73,70,143
33,Uttar Pradesh,22895,6551,29446,3623,1433,5056
34,Uttarakhand,4878,2059,6937,109,93,202
35,West Bengal,33357,13990,47347,5630,6588,12218
INDIA,INDIA,491006,231350,722356,50564,39136,89700
